ligand	receptor	ligand.name	receptor.name	ligand.synonyms	receptor.synonyms	ligand.altern.names	receptor.altern.names	source	PMIDs	cells.L	cells.R	remarks
IL8	KDR	Multifunctional fusion protein [Includes: C-X-C motif chemokine; Interleukin-8	Vascular endothelial growth factor receptor 2	CXCL8,hCG_16372	FLK1,VEGFR2	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8)	VEGFR-2 || EC 2.7.10.1 || Fetal liver kinase 1 || FLK-1 || Kinase insert domain receptor || KDR || Protein-tyrosine kinase receptor flk-1 || CD antigen CD309	fantom5	""	""	""	""
IL8	SDC1	Multifunctional fusion protein [Includes: C-X-C motif chemokine; Interleukin-8	Syndecan-1	CXCL8,hCG_16372	SDC	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8)	SYND1 || CD antigen CD138	fantom5,HPRD	12902511	""	""	""
IL8	SDC2	Multifunctional fusion protein [Includes: C-X-C motif chemokine; Interleukin-8	Syndecan-2	CXCL8,hCG_16372	HSPG1	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8)	SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362	fantom5	14527339	""	""	""
IL8	SDC3	Multifunctional fusion protein [Includes: C-X-C motif chemokine; Interleukin-8	Syndecan-3	CXCL8,hCG_16372	KIAA0468	IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8)	SYND3	fantom5	""	""	""	""
IL9	IL2RG	Interleukin-9	Cytokine receptor common subunit gamma	""	""	IL-9 || Cytokine P40 || T-cell growth factor P40	Interleukin-2 receptor subunit gamma || IL-2 receptor subunit gamma || IL-2R subunit gamma || IL-2RG || gammaC || p64 || CD antigen CD132	HPMR,fantom5	9535918	""	""	""
IL9	IL9R	Interleukin-9	Interleukin-9 receptor	""	""	IL-9 || Cytokine P40 || T-cell growth factor P40	IL-9 receptor || IL-9R || CD antigen CD129	fantom5,uniprot,HPMR,HPRD	9535918,116	""	""	""
INHA	ACVR2A	Inhibin alpha chain	Activin receptor type-2A	""	ACVR2	""	EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA	fantom5,HPMR	12493742	""	""	""
INHA	ACVR2B	Inhibin alpha chain	Activin receptor type-2B	""	ACVR2	""	EC 2.7.11.30 || Activin receptor type IIB || ACTR-IIB || ACTRIIB	fantom5,HPMR	29747587	""	""	""
INHA	ACVR1	Inhibin alpha chain	Activin receptor type-1	""	ACVR1	""	EC 2.7.11.30 || Activin receptor type I || ACTR-I || ACTRI	fantom5,HPMR	29747587	""	""	""
INHA	TGFBR3	Inhibin alpha chain	Transforming growth factor beta receptor type 3	""	""	""	TGF-beta receptor type 3 || TGFR-3 || Betaglycan || Transforming growth factor beta receptor III || TGF-beta receptor type III	HPRD,HPMR,fantom5	12493742,11	""	""	""
INHBA	ACVR1	Inhibin beta A chain	Activin receptor type-1	""	ACVRLK2	Activin beta-A chain || Erythroid differentiation protein || EDF	EC 2.7.11.30 || Activin receptor type I || ACTR-I || Activin receptor-like kinase 2 || ALK-2 || Serine/threonine-protein kinase receptor R1 || SKR1 || TGF-B superfamily receptor type I || TSR-I	HPRD,fantom5	11266516	""	""	""
INHBA	ACVR1B	Inhibin beta A chain	Activin receptor type-1B	""	ACVRLK4,ALK4	Activin beta-A chain || Erythroid differentiation protein || EDF	EC 2.7.11.30 || Activin receptor type IB || ACTR-IB || Activin receptor-like kinase 4 || ALK-4 || Serine/threonine-protein kinase receptor R2 || SKR2	HPMR,fantom5,HPRD	8167568,84	""	""	""
INHBA	ACVR2A	Inhibin beta A chain	Activin receptor type-2A	""	ACVR2	Activin beta-A chain || Erythroid differentiation protein || EDF	EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA	HPRD,fantom5,HPMR	12466190,11	""	""	""
INHBA	ACVR2B	Inhibin beta A chain	Activin receptor type-2B	""	""	Activin beta-A chain || Erythroid differentiation protein || EDF	EC 2.7.11.30 || Activin receptor type IIB || ACTR-IIB	HPRD,fantom5	9202237	""	""	""
INHBA	BAMBI	Inhibin beta A chain	BMP and activin membrane-bound inhibitor homolog	""	NMA	Activin beta-A chain || Erythroid differentiation protein || EDF	Non-metastatic gene A protein || Putative transmembrane protein NMA	HPMR,fantom5	10918299	""	""	""
INHBA	ENG	Inhibin beta A chain	Endoglin	""	END	Activin beta-A chain || Erythroid differentiation protein || EDF	CD antigen CD105	fantom5,HPRD	9872992	""	""	""
INHBA	SMAD3	Inhibin beta A chain	Mothers against decapentaplegic homolog 3	""	MADH3	Activin beta-A chain || Erythroid differentiation protein || EDF	MAD homolog 3 || Mad3 || Mothers against DPP homolog 3 || hMAD-3 || JV15-2 || SMAD family member 3 || SMAD 3 || Smad3 || hSMAD3	reactome	""	""	""	""
INHBA	TGFBR3	Inhibin beta A chain	Transforming growth factor beta receptor type 3	""	""	Activin beta-A chain || Erythroid differentiation protein || EDF	TGF-beta receptor type 3 || TGFR-3 || Betaglycan || Transforming growth factor beta receptor III || TGF-beta receptor type III	HPRD,fantom5	10746731	""	""	""
INHBB	ACVR1	Inhibin beta B chain	Activin receptor type-1	""	ACVRLK2	Activin beta-B chain	EC 2.7.11.30 || Activin receptor type I || ACTR-I || Activin receptor-like kinase 2 || ALK-2 || Serine/threonine-protein kinase receptor R1 || SKR1 || TGF-B superfamily receptor type I || TSR-I	fantom5,HPRD	11266516	""	""	""
INHBB	ACVR1B	Inhibin beta B chain	Activin receptor type-1B	""	ACVRLK4,ALK4	Activin beta-B chain	EC 2.7.11.30 || Activin receptor type IB || ACTR-IB || Activin receptor-like kinase 4 || ALK-4 || Serine/threonine-protein kinase receptor R2 || SKR2	fantom5,HPRD	11266516,12032389,15196700	""	""	""
INHBB	ACVR1C	Inhibin beta B chain	Activin receptor type-1C	""	ALK7	Activin beta-B chain	EC 2.7.11.30 || Activin receptor type IC || ACTR-IC || Activin receptor-like kinase 7 || ALK-7	fantom5,HPRD	15196700	""	""	""
INHBB	ACVR2A	Inhibin beta B chain	Activin receptor type-2A	""	ACVR2	Activin beta-B chain	EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA	fantom5,HPMR,HPRD	12466190,11	""	""	""
INHBB	ACVR2B	Inhibin beta B chain	Activin receptor type-2B	""	""	Activin beta-B chain	EC 2.7.11.30 || Activin receptor type IIB || ACTR-IIB	fantom5,HPRD	9202237	""	""	""
INHBB	SMAD3	Inhibin beta B chain	Mothers against decapentaplegic homolog 3	""	MADH3	Activin beta-B chain	MAD homolog 3 || Mad3 || Mothers against DPP homolog 3 || hMAD-3 || JV15-2 || SMAD family member 3 || SMAD 3 || Smad3 || hSMAD3	reactome	""	""	""	""
INHBC	ACVR1	Inhibin beta C chain	Activin receptor type-1	""	ACVRLK2	Activin beta-C chain	EC 2.7.11.30 || Activin receptor type I || ACTR-I || Activin receptor-like kinase 2 || ALK-2 || Serine/threonine-protein kinase receptor R1 || SKR1 || TGF-B superfamily receptor type I || TSR-I	fantom5,HPRD	12651901	""	""	""
INHBC	ACVR1B	Inhibin beta C chain	Activin receptor type-1B	""	ACVRLK4,ALK4	Activin beta-C chain	EC 2.7.11.30 || Activin receptor type IB || ACTR-IB || Activin receptor-like kinase 4 || ALK-4 || Serine/threonine-protein kinase receptor R2 || SKR2	fantom5,HPRD	12651901	""	""	""
INHBC	ACVR2A	Inhibin beta C chain	Activin receptor type-2A	""	ACVR2	Activin beta-C chain	EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA	HPRD,fantom5	12651901	""	""	""
INHBC	ACVR2B	Inhibin beta C chain	Activin receptor type-2B	""	""	Activin beta-C chain	EC 2.7.11.30 || Activin receptor type IIB || ACTR-IIB	HPRD,fantom5	12651901	""	""	""
INHBE	ACVR2B	Inhibin beta E chain	Activin receptor type-1	""	ACVRLK2	Activin beta-E chain	EC 2.7.11.30 || Activin receptor type I || ACTR-I || Activin receptor-like kinase 2 || ALK-2 || Serine/threonine-protein kinase receptor R1 || SKR1 || TGF-B superfamily receptor type I || TSR-I	fantom5	""	""	""	""
INHBE	ACVR2B	Inhibin beta E chain	Activin receptor type-1B	""	ACVRLK4,ALK4	Activin beta-E chain	EC 2.7.11.30 || Activin receptor type IB || ACTR-IB || Activin receptor-like kinase 4 || ALK-4 || Serine/threonine-protein kinase receptor R2 || SKR2	fantom5	""	""	""	""
INHBE	ACVR2B	Inhibin beta E chain	Activin receptor type-2A	""	ACVR2	Activin beta-E chain	EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA	fantom5	""	""	""	""
INHBE	ACVR2B	Inhibin beta E chain	Endoglin	""	END	Activin beta-E chain	CD antigen CD105	fantom5	""	""	""	""
INSL3	ADCYAP1R1	Insulin-like 3	Pituitary adenylate cyclase-activating polypeptide type I receptor	RLF,RLNL	""	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	PACAP type I receptor || PACAP-R-1 || PACAP-R1	reactome	""	""	""	""
INSL3	ADRB2	Insulin-like 3	Beta-2 adrenergic receptor	RLF,RLNL	ADRB2R,B2AR	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Beta-2 adrenoreceptor || Beta-2 adrenoceptor	reactome	""	""	""	""
INSL3	ADRB3	Insulin-like 3	Beta-3 adrenergic receptor	RLF,RLNL	ADRB3R,B3AR	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Beta-3 adrenoreceptor || Beta-3 adrenoceptor	reactome	""	""	""	""
INSL3	GPR20	Insulin-like 3	G-protein coupled receptor 20	RLF,RLNL	""	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	""	reactome	""	""	""	""
INSL3	GPR84	Insulin-like 3	G-protein coupled receptor 84	RLF,RLNL	EX33	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Inflammation-related G-protein coupled receptor EX33	reactome	""	""	""	""
INSL3	PTH1R	Insulin-like 3	Parathyroid hormone/parathyroid hormone-related peptide receptor	RLF,RLNL	PTHR,PTHR1	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor	reactome	""	""	""	""
INSL3	RAMP2	Insulin-like 3	Receptor activity-modifying protein 2	RLF,RLNL	""	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2	reactome	""	""	""	""
INSL3	RAMP3	Insulin-like 3	Receptor activity-modifying protein 3	RLF,RLNL	""	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3	reactome	""	""	""	""
INSL3	RXFP2	Insulin-like 3	Relaxin receptor 2	RLF,RLNL	GPR106,GREAT,LGR8	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	G-protein coupled receptor 106 || G-protein coupled receptor affecting testicular descent || Leucine-rich repeat-containing G-protein coupled receptor 8 || Relaxin family peptide receptor 2	HPRD,IUPHAR,fantom5,HPMR	12114498,15649866,20560146,15649866	""	""	""
INSL3	TSHR	Insulin-like 3	Thyrotropin receptor	RLF,RLNL	LGR3	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	Thyroid-stimulating hormone receptor || TSH-R	reactome	""	""	""	""
INSL3	VIPR1	Insulin-like 3	Vasoactive intestinal polypeptide receptor 1	RLF,RLNL	""	Leydig insulin-like peptide || Ley-I-L || Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain	VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1	reactome	""	""	""	""
INSL5	ADRA2A	Insulin-like peptide INSL5	Alpha-2A adrenergic receptor	UNQ156/PRO182	ADRA2R,ADRAR	Insulin-like peptide 5) [Cleaved into: Insulin-like peptide INSL5 B chain; Insulin-like peptide INSL5 A chain	Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR	reactome	""	""	""	""
INSL5	GRM7	Insulin-like peptide INSL5	Metabotropic glutamate receptor 7	UNQ156/PRO182	GPRC1G,MGLUR7	Insulin-like peptide 5) [Cleaved into: Insulin-like peptide INSL5 B chain; Insulin-like peptide INSL5 A chain	mGluR7	reactome	""	""	""	""
INSL5	MTNR1A	Insulin-like peptide INSL5	Melatonin receptor type 1A	UNQ156/PRO182	""	Insulin-like peptide 5) [Cleaved into: Insulin-like peptide INSL5 B chain; Insulin-like peptide INSL5 A chain	Mel-1A-R || Mel1a receptor	reactome	""	""	""	""
INSL5	RXFP3	Insulin-like peptide INSL5	Relaxin-3 receptor 1	UNQ156/PRO182	RLN3R1,SALPR	Insulin-like peptide 5) [Cleaved into: Insulin-like peptide INSL5 B chain; Insulin-like peptide INSL5 A chain	RLN3 receptor 1 || G protein-coupled receptor SALPR || G-protein coupled receptor GPCR135 || Relaxin family peptide receptor 3 || Somatostatin- and angiotensin-like peptide receptor	IUPHAR,fantom5	15525639	""	""	""
INSL5	RXFP4	Insulin-like peptide INSL5	Relaxin-3 receptor 2	UNQ156/PRO182	GPR100,RLN3R2	Insulin-like peptide 5) [Cleaved into: Insulin-like peptide INSL5 B chain; Insulin-like peptide INSL5 A chain	RLN3 receptor 2 || G-protein coupled receptor 100 || G-protein coupled receptor GPCR142 || Insulin-like peptide INSL5 receptor || Relaxin family peptide receptor 4	HPMR,IUPHAR,fantom5	15465925,16	""	""	""
INS	IGF1R	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	Insulin-like growth factor 1 receptor	""	""	""	EC 2.7.10.1 || Insulin-like growth factor I receptor || IGF-I receptor || CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain	fantom5,HPRD	1851182	""	""	""
INS	INSR	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	Insulin receptor	""	""	""	IR || EC 2.7.10.1 || CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta	HPRD,HPMR,uniprot,IUPHAR,fantom5	2550426	""	""	""
INS	LRP2	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	Low-density lipoprotein receptor-related protein 2	""	""	""	LRP-2 || Glycoprotein 330 || gp330 || Megalin	fantom5,HPRD	9773776	""	""	""
IRAK4	TLR4	Interleukin-1 receptor-associated kinase 4	Toll-like receptor 4	""	""	IRAK-4 || EC 2.7.11.1 || Renal carcinoma antigen NY-REN-64	hToll || CD antigen CD284	reactome	""	""	""	""
IRAK4	TLR6	Interleukin-1 receptor-associated kinase 4	Toll-like receptor 6	""	""	IRAK-4 || EC 2.7.11.1 || Renal carcinoma antigen NY-REN-64	CD antigen CD286	reactome	""	""	""	""
IRAK4	TLR7	Interleukin-1 receptor-associated kinase 4	Toll-like receptor 7	""	UNQ248/PRO285	IRAK-4 || EC 2.7.11.1 || Renal carcinoma antigen NY-REN-64	""	reactome	""	""	""	""
ITGB3BP	ITGB3	Centromere protein R	Integrin beta-3	CENPR,NRIF3	GP3A	CENP-R || Beta-3-endonexin || Integrin beta-3-binding protein || Nuclear receptor-interacting factor 3	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	fantom5,HPRD	7593198,119	""	""	""
ITGB3BP	ITGB5	Centromere protein R	Integrin beta-5	CENPR,NRIF3	""	CENP-R || Beta-3-endonexin || Integrin beta-3-binding protein || Nuclear receptor-interacting factor 3	""	HPRD,fantom5	10579726	""	""	""
ITIH2	FCER1A	Inter-alpha-trypsin inhibitor heavy chain H2	High affinity immunoglobulin epsilon receptor subunit alpha	IGHEP2	FCE1A	ITI heavy chain H2 || ITI-HC2 || Inter-alpha-inhibitor heavy chain 2 || Inter-alpha-trypsin inhibitor complex component II || Serum-derived hyaluronan-associated protein || SHAP	Fc-epsilon RI-alpha || FcERI || IgE Fc receptor subunit alpha	fantom5,HPRD	10917520	""	""	""
JAG1	NOTCH1	Protein jagged-1	Neurogenic locus notch homolog protein 1	JAGL1	TAN1	Jagged1 || hJ1 || CD antigen CD339	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	HPRD,fantom5,uniprot,HPMR	7697721,11	""	""	""
JAG1	NOTCH2	Protein jagged-1	Neurogenic locus notch homolog protein 2	JAGL1	""	Jagged1 || hJ1 || CD antigen CD339	Notch 2 || hN2) [Cleaved into: Notch 2 extracellular truncatio || N2ECD); Notch 2 intracellular domai || N2ICD)	HPMR,fantom5,uniprot,HPRD	10551863,11	""	""	""
JAG1	NOTCH3	Protein jagged-1	Neurogenic locus notch homolog protein 3	JAGL1	""	Jagged1 || hJ1 || CD antigen CD339	Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain	HPMR,fantom5,uniprot,HPRD	11006133,14714274,12482954	""	""	""
JAG1	NOTCH4	Protein jagged-1	Neurogenic locus notch homolog protein 4	JAGL1	INT3	Jagged1 || hJ1 || CD antigen CD339	Notch 4 || hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain	uniprot	24563863	""	""	""
JAG2	NOTCH1	Protein jagged-2	Neurogenic locus notch homolog protein 1	""	TAN1	Jagged2 || hJ2	Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD)	HPMR,uniprot,fantom5,HPRD	11006133	""	""	""
JAG2	NOTCH2	Protein jagged-2	Neurogenic locus notch homolog protein 2	""	""	Jagged2 || hJ2	Notch 2 || hN2) [Cleaved into: Notch 2 extracellular truncatio || N2ECD); Notch 2 intracellular domai || N2ICD)	HPRD,uniprot,fantom5	10958687	""	""	""
JAG2	NOTCH3	Protein jagged-2	Neurogenic locus notch homolog protein 3	""	""	Jagged2 || hJ2	Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain	uniprot,fantom5,HPMR,HPRD	11006133	""	""	""
JAG2	NOTCH4	Protein jagged-2	Neurogenic locus notch homolog protein 4	""	INT3	Jagged2 || hJ2	Notch 4 || hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain	uniprot	""	""	""	""
JAM3	ITGB1	Junctional adhesion molecule C	Integrin beta-1	UNQ859/PRO1868	FNRB,MDF2,MSK12	JAM-C || JAM-2 || Junctional adhesion molecule 3 || JAM-3	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	reactome	""	""	""	""
JAM3	ITGB2	Junctional adhesion molecule C	Integrin beta-2	UNQ859/PRO1868	CD18,MFI7	JAM-C || JAM-2 || Junctional adhesion molecule 3 || JAM-3	Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18	reactome	""	""	""	""
KISS1	KISS1R	Metastasis-suppressor KiSS-1	KiSS-1 receptor	PP5098	AXOR12,GPR54	Kisspeptin-1) [Cleaved into: Metasti || Kisspeptin-54); Kisspeptin-14; Kisspeptin-13; Kisspeptin-10	KiSS-1R || G-protein coupled receptor 54 || G-protein coupled receptor OT7T175 || hOT7T175 || Hypogonadotropin-1 || Kisspeptins receptor || Metastin receptor	fantom5,IUPHAR,HPMR,HPRD	12944565,11385580,15665093,11385580,11457843,11457843	""	""	""
KISS1	MMP24	Metastasis-suppressor KiSS-1	Matrix metalloproteinase-24	PP5098	MT5MMP	Kisspeptin-1) [Cleaved into: Metasti || Kisspeptin-54); Kisspeptin-14; Kisspeptin-13; Kisspeptin-10	MMP-24 || EC 3.4.24.- || Membrane-type matrix metalloproteinase 5 || MT-MMP 5 || MTMMP5 || Membrane-type-5 matrix metalloproteinase || MT5-MMP || MT5MMP) [Cleaved into: Processed matrix metalloproteinase-24	HPRD,fantom5	12879005	""	""	""
KITLG	EPOR	Kit ligand	Erythropoietin receptor	MGF,SCF	""	Mast cell growth factor || MGF || Stem cell factor || SCF || c-Kit ligand) [Cleaved into: Soluble KIT ligan || sKITLG)	EPO-R	fantom5,HPRD	11124255	""	""	""
KITLG	KIT	Kit ligand	Mast/stem cell growth factor receptor Kit	MGF,SCF	SCFR	Mast cell growth factor || MGF || Stem cell factor || SCF || c-Kit ligand) [Cleaved into: Soluble KIT ligan || sKITLG)	SCFR || EC 2.7.10.1 || Piebald trait protein || PBT || Proto-oncogene c-Kit || Tyrosine-protein kinase Kit || p145 c-kit || v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog || CD antigen CD117	fantom5,IUPHAR,HPMR,HPRD	1698556,1375232,7680037	""	""	""
KLK3	EPOR	Prostate-specific antigen	Erythropoietin receptor	APS	""	PSA || EC 3.4.21.77 || Gamma-seminoprotein || Seminin || Kallikrein-3 || P-30 antigen || Semenogelase	EPO-R	fantom5,HPRD	10374881	""	""	""
KNG1	ADRA2A	Kininogen-1	Alpha-2A adrenergic receptor	BDK,KNG	ADRA2R,ADRAR	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR	reactome	""	""	""	""
KNG1	BDKRB1	Kininogen-1	B1 bradykinin receptor	BDK,KNG	BRADYB1	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	B1R || BK-1 receptor	HPMR,IUPHAR,fantom5	8063797,9111052,10422787,9313952	""	""	""
KNG1	BDKRB2	Kininogen-1	B2 bradykinin receptor	BDK,KNG	BKR2	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	B2R || BK-2 receptor	HPMR,IUPHAR,fantom5	8063797,8302267,9203620	""	""	""
KNG1	CD93	Kininogen-1	Complement component C1q receptor	BDK,KNG	C1QR1,MXRA4	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	C1q/MBL/SPA receptor || C1qR || C1qR(p) || C1qRp || CDw93 || Complement component 1 q subcomponent receptor 1 || Matrix-remodeling-associated protein 4 || CD antigen CD93	fantom5,HPRD	12213329,87	""	""	""
KNG1	GP1BA	Kininogen-1	Platelet glycoprotein Ib alpha chain	BDK,KNG	""	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	GP-Ib alpha || GPIb-alpha || GPIbA || Glycoprotein Ibalpha || Antigen CD42b-alpha || CD antigen CD42b) [Cleaved into: Glycocalicin	fantom5,HPRD	9269768	""	""	""
KNG1	GPR135	Kininogen-1	G-protein coupled receptor 135	BDK,KNG	""	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	""	fantom5,HPMR	14530218,14	""	""	""
KNG1	GRM7	Kininogen-1	Metabotropic glutamate receptor 7	BDK,KNG	GPRC1G,MGLUR7	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	mGluR7	reactome	""	""	""	""
KNG1	ITGAM	Kininogen-1	Integrin alpha-M	BDK,KNG	CD11B,CR3A	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	CD11 antigen-like family member B || CR-3 alpha chain || Cell surface glycoprotein MAC-1 subunit alpha || Leukocyte adhesion receptor MO1 || Neutrophil adherence receptor || CD antigen CD11b	fantom5	""	""	""	""
KNG1	ITGB2	Kininogen-1	Integrin beta-2	BDK,KNG	CD18,MFI7	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18	fantom5,HPRD	10845911	""	""	""
KNG1	MTNR1A	Kininogen-1	Melatonin receptor type 1A	BDK,KNG	""	Alpha-2-thiol proteinase inhibitor || Fitzgerald factor || High molecular weight kininogen || HMWK || Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kini || Ile-Ser-Bradykinin); Bradykini || Kallidin I); Lysyl-bradykini || Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor	Mel-1A-R || Mel1a receptor	reactome	""	""	""	""
